Nom Centreon,CRITCAL,CRITICAL,CRITICAL1,CRITICAL15,CRITICAL5,DISK,WARNING,WARNING1,WARNING15,WARNING5
EENVD-EWM01,,150,,,,,95,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,free<=100M,,,,C:,free<=999M,,,
EENVD-EWM01,,none,,,,D:,free<= 10%,,,
EENVD-EWM01,,none,,,,I:,free<=10%,,,
EENVD-EWM01,,none,,,,K:,free<=10%,,,
EENVD-EWM01,,none,,,,T:,free<=10%,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
cieyy1pz,,99,,,,/,85,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,99,,,,/boot,95,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,99,,,,/tmp,95,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,90,,,,/var,85,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,99,,,,,95,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,,,,,,,,,
cieyy1pz,,1:,,,,,1:,,,
cieyy1pz,,1:,,,,,1:,,,
cieyy1pz,,1:,,,,,1:,,,
cieyy1pz,,1:,,,,,1:,,,
cieyy1pz,,1:,,,,,1:,,,
cieyy1pz,,150,,,,,80,,,
cieyy1pz,,,,,,,,,,
cieyy1q0,,,99,30,30,,,99,30,30
cieyy1q0,,150,,,,,95,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,99,,,,/,85,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,99,,,,/boot,95,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,99,,,,/tmp,95,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,90,,,,/var,85,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,99,,,,,95,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,,,,,,,,,
cieyy1q0,,1:,,,,,1:,,,
cieyy1q0,,1:,,,,,1:,,,
cieyy1q0,,1:,,,,,1:,,,
cieyy1q0,,1:,,,,,1:,,,
cieyy1q0,,1:,,,,,1:,,,
cieyy1q0,,150,,,,,80,,,
cieyy1q0,,,,,,,,,,
cieyy1q1,,,99,30,30,,,99,30,30
cieyy1q1,,150,,,,,95,,,
cieyy1q1,,,,,,,,,,
cieyy1q1,,99,,,,/,85,,,
cieyy1q1,,,,,,,,,,
cieyy1q1,,,,,,,,,,
cieyy1q1,,,,,,,,,,
cieyy1q1,,,,,,,,,,
